Resource,fuel,Zone,EndCap1,EndEnergyCap1,EndCap2,EndEnergyCap2,EndCap3,EndEnergyCap3,EndCap4,EndEnergyCap4,EndCap5,EndEnergyCap5,EndCap6,EndEnergyCap6,EndCap7,EndEnergyCap7
EIC_offshorewind_class12_moderate_floating_1_9,offshore_wind_new,1,0.289614111,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_0,offshore_wind_new,1,0.899498313,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_1,offshore_wind_new,1,1.34541101,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_2,offshore_wind_new,1,1.053150928,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_3,offshore_wind_new,1,1.303852675,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_4,offshore_wind_new,1,1.394022646,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_5,offshore_wind_new,1,1.016402994,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_6,offshore_wind_new,1,0.9896126,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_7,offshore_wind_new,1,1.003330401,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_8,offshore_wind_new,1,0.971508022,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class12_moderate_floating_0_9,offshore_wind_new,1,0.776851996,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_0,wind_new,2,17797.50121,0,19092.15924,0,18026.34977,0,18291.84916,0,18254.36587,0,21283.73563,0,21209.73688,0
TRE_landbasedwind_class1_moderate_1,wind_new,2,7.186480055,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_2,wind_new,2,51.16357403,0,0,0,0,0,0,0,0,0,0,0,0,0
