Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,38,24689.63345,19875.90878,30799.44812,45065.89867,27183.99006,40798.76253,19229.59062,32020.25653,47900.02484,49378.1138,14685.73303,12585.58697,22120.89627,20298.45018,56152.75016,62897.21009,21931.18806,15381.64357,10300.55326,22847.47337,38076.15303,43734.75425,46175.61794,26347.77557,71120.46487,3439.043732
,,,,,,,,39,25157.06537,20568.71815,31874.25552,45933.14827,27739.01116,40897.07763,19416.11043,31575.97648,47521.87203,50438.66013,14888.40557,12725.02557,22134.93874,20745.76026,57426.76032,63776.95448,22736.83992,15225.16907,10187.20605,22607.79702,39371.96984,44665.66512,46885.73431,26900.23863,69858.83781,3375.859201
,,,,,,,,40,25443.94418,21018.89385,32574.08347,49666.83326,29707.17821,42668.75597,20502.13706,31939.02248,48478.78923,50666.42173,15601.77281,13221.58746,22747.79208,22647.32958,61803.53696,68024.20393,22747.87625,15389.6679,10358.73148,22874.54977,44925.32722,48463.5407,51394.17088,27191.00866,69910.98773,3385.888492
,,,,,,,,41,25459.99335,21089.07715,32683.36892,58224.0302,32305.64047,46639.48239,22399.42458,34413.15092,53032.67189,49966.07988,16435.53957,13788.37023,24204.19643,25390.36339,69223.89377,74804.35485,23765.22492,16577.2692,11398.91784,24572.34078,54969.91347,55544.68273,60811.23671,27557.9805,73853.32159,3603.524097
,,,,,,,,42,26475.103,21769.8551,33743.13704,66385.19986,36568.16237,51849.17979,25472.99025,38688.46894,60686.00333,51202.21335,17775.98771,14767.44985,26716.79483,28709.08327,78495.07637,83075.15591,26872.45258,18530.19128,12992.80031,27223.823,61862.21469,62311.84297,71556.26028,29244.44669,80487.39394,3958.560983
,,,,,,,,43,29399.06016,23673.82759,36706.87833,62474.05455,36679.56806,53445.29544,25280.45367,43180.41109,67680.32576,56814.98169,18399.05529,15349.27995,27712.80689,26905.80181,73129.18633,78793.80007,30912.75151,20621.5331,14500.41853,30548.20409,56975.82186,60674.72386,70051.77644,32403.81349,90001.74684,4449.99622
,,,,,,,,44,33515.67086,26175.3607,40602.05252,53448.64309,33074.44004,48401.12857,22222.93272,42615.78429,61571.70342,65387.64754,17196.06329,14491.58213,25382.76055,23674.33749,64507.04671,69895.04007,35072.44344,19795.02679,13578.59475,30343.62679,48620.21047,53698.91118,60932.59841,36534.75326,91720.68864,4495.128027
,,,,,,,,45,35781.61227,29913.1224,46410.22345,46602.88554,32054.72677,43772.29287,20319.62843,37868.10531,52157.00238,70865.96631,16719.4818,14118.40834,23761.85874,22499.89778,61372.17919,66379.07188,30849.54346,17184.10939,11585.48935,26727.42221,45310.46163,48621.03316,54141.35836,37473.23861,82065.93209,3962.572699
,,,,,,,,46,31315.93224,27578.02396,42778.73802,41748.29297,31115.30588,41961.48914,19341.90362,36042.84639,48867.97567,62942.4712,16362.29652,13813.44912,23067.7597,21141.92054,57994.54753,63381.72154,24679.23345,16151.97955,10760.96362,25399.67543,41856.28738,45560.46306,49949.86639,32997.38542,78035.34452,3745.940023
,,,,,,,,47,26770.0064,23658.78832,36686.82595,36893.7004,29852.70816,39674.1581,18026.23701,34170.45166,45554.87558,51583.48828,15820.49862,13354.00397,22091.80831,19336.6332,53435.19621,59575.84898,22895.36171,15228.17819,10075.86498,24052.87489,38554.56218,42516.94629,45739.31763,29146.18647,74074.95877,3541.342495
,,,,,,,,48,24975.50919,22139.82132,34332.67691,33472.82683,28532.9021,37603.52158,16848.95607,31412.50548,41651.97746,47112.53802,15169.33782,12771.17071,20876.13195,18029.80576,50165.90557,56807.21212,21218.84333,14087.71985,9212.219412,22200.64809,37003.99499,40211.73813,42879.79535,27095.75641,68044.6221,3245.478424
,,,,,,,,49,23132.86449,20481.49035,31760.95959,29885.52154,30269.22489,36162.90432,15792.01049,29465.89693,39297.80067,42708.81255,14609.47999,12231.47314,19828.9652,17033.88892,48347.18083,54770.85965,19178.12616,13361.5177,8610.375809,20757.57588,35874.66857,38690.98288,40821.66146,24674.3439,63256.85772,3019.819387
,,,,,,,,50,21165.83877,18505.32932,28690.94071,28236.24339,29070.86107,35118.55712,15142.19954,26975.72226,37178.33942,37974.98326,13940.25925,11654.65881,19191.03602,16640.73745,47184.52116,53469.80095,17921.99151,12862.00296,8150.968526,19319.51782,35872.66266,37826.27903,39732.41516,22550.72001,59399.76894,2843.303873
